epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.683,5.77844,142.363,3.46341,0,0,0,0,2.76226,120.113,1.63763,0.00017,0.00017,0.00017
2,355.663,6.42452,44.0967,3.35165,0,0,0,0,4.34099,2.92962,2.24734,0.00034769,0.00034769,0.00034769
3,530.986,4.88542,13.9912,2.29172,0,0,0,0,3.91718,4.23869,2.28874,0.000523004,0.000523004,0.000523004
4,722.972,4.47004,8.70833,2.05949,0,0.00144,0,0,3.76183,3.82949,1.92753,0.000695942,0.000695942,0.000695942
5,899.51,4.23947,6.608,1.97028,0,0,0,0,4.19851,4.19497,1.73907,0.000866504,0.000866504,0.000866504
6,1083.46,4.06304,5.62812,1.79353,0,0,0,0,4.8702,4.65159,1.42032,0.000967,0.000967,0.000967
7,1541.73,4.00398,5.15082,1.68016,0,0,0,0,1.03623,0.80208,1.32855,0.0009604,0.0009604,0.0009604
8,1729.48,4.0443,4.98357,1.64893,0,0,0,0,5.86196,4.6058,1.96168,0.0009538,0.0009538,0.0009538
9,1912.5,3.98657,4.83577,1.57965,0,0,0,0,3.55851,3.21793,1.44823,0.0009472,0.0009472,0.0009472
10,2100.18,3.91083,4.69156,1.53728,0,0,0,0,5.22724,4.84393,1.93048,0.0009406,0.0009406,0.0009406
11,2274.92,3.88073,4.573,1.47552,0.01717,0.00149,0.00024,5e-05,5.60612,4.03099,2.07085,0.000934,0.000934,0.000934
12,2467.12,3.74665,4.33973,1.40525,0.51518,0.00446,0.00138,0.00024,5.15169,3.782,1.91182,0.0009274,0.0009274,0.0009274
13,2645.38,3.61407,4.282,1.40661,0.38381,0.03423,0.02531,0.00547,4.47574,3.75851,1.76497,0.0009208,0.0009208,0.0009208
14,2836.12,3.48166,4.06221,1.35842,0.64811,0.11458,0.14164,0.05778,3.43459,3.6433,1.47059,0.0009142,0.0009142,0.0009142
15,3016.97,3.42989,3.95892,1.32986,0.61386,0.09375,0.08672,0.02229,3.82235,3.9029,1.52172,0.0009076,0.0009076,0.0009076
16,3209.61,3.38841,3.85302,1.30478,0.99422,0.12436,0.14919,0.06557,3.4137,3.16706,1.44214,0.000901,0.000901,0.000901
17,3391.4,3.20476,3.63348,1.26647,0.99042,0.15179,0.16761,0.07933,2.94073,3.09969,1.31885,0.0008944,0.0008944,0.0008944
18,3578.41,3.23837,3.61652,1.29802,0.98551,0.14583,0.16785,0.07052,3.29561,3.16374,1.3879,0.0008878,0.0008878,0.0008878
19,3762.19,3.11863,3.46683,1.26522,0.9953,0.15369,0.17975,0.06471,3.15692,2.93677,1.33738,0.0008812,0.0008812,0.0008812
20,3949.93,3.08945,3.33643,1.24045,0.55388,0.18388,0.18885,0.06872,2.96703,2.77838,1.28686,0.0008746,0.0008746,0.0008746
21,4127.2,2.99063,3.23813,1.20022,0.58004,0.20917,0.20524,0.09058,2.89539,2.68402,1.28248,0.000868,0.000868,0.000868
22,4319.79,2.9618,3.15584,1.22907,0.58835,0.21937,0.21724,0.10288,2.74588,2.55128,1.24245,0.0008614,0.0008614,0.0008614
23,4504.96,2.80911,2.9052,1.18488,0.49959,0.25434,0.24228,0.10894,2.86758,2.45206,1.26701,0.0008548,0.0008548,0.0008548
24,4692.32,2.74663,2.76593,1.18936,0.54297,0.30554,0.28084,0.12638,2.51193,2.25106,1.18619,0.0008482,0.0008482,0.0008482
25,4875.39,2.71659,2.69927,1.13549,0.39666,0.35933,0.32194,0.14547,2.44719,2.05268,1.16263,0.0008416,0.0008416,0.0008416
26,5084.09,2.61261,2.55299,1.13506,0.40887,0.38812,0.33832,0.14197,2.5125,1.96356,1.16471,0.000835,0.000835,0.000835
27,5280.18,2.58588,2.46896,1.12755,0.49218,0.41943,0.3772,0.16698,2.3015,1.81581,1.12179,0.0008284,0.0008284,0.0008284
28,5480.78,2.537,2.32046,1.09527,0.47404,0.4169,0.40835,0.17577,2.26194,1.80537,1.11175,0.0008218,0.0008218,0.0008218
29,5672.65,2.50325,2.29246,1.09842,0.45939,0.40821,0.3691,0.11856,2.45671,1.85058,1.13241,0.0008152,0.0008152,0.0008152
30,5867.74,2.47565,2.27347,1.09613,0.53093,0.49295,0.45892,0.17616,2.21699,1.64631,1.08583,0.0008086,0.0008086,0.0008086
31,6060.92,2.43385,2.18602,1.08137,0.53464,0.48209,0.46659,0.19801,2.15284,1.62581,1.08489,0.000802,0.000802,0.000802
32,6265.03,2.33876,2.02993,1.06046,0.59908,0.52415,0.51946,0.21389,2.09436,1.53941,1.0638,0.0007954,0.0007954,0.0007954
33,6459.23,2.37357,2.0184,1.05672,0.56219,0.54283,0.52514,0.1881,2.21592,1.57987,1.07084,0.0007888,0.0007888,0.0007888
34,6684.16,2.37029,1.98726,1.08092,0.69283,0.55104,0.57276,0.239,2.01098,1.53331,1.04551,0.0007822,0.0007822,0.0007822
35,6881.81,2.29652,1.94168,1.04867,0.68997,0.57559,0.61245,0.26148,2.00053,1.47132,1.04825,0.0007756,0.0007756,0.0007756
36,7110.22,2.23675,1.83495,1.04257,0.69181,0.58044,0.6218,0.2737,1.99748,1.40064,1.04105,0.000769,0.000769,0.000769
37,7866.98,2.2108,1.78128,1.03339,0.72238,0.56739,0.63314,0.2903,1.92789,1.31979,1.02494,0.0007624,0.0007624,0.0007624
38,8060.33,2.23148,1.74344,1.03027,0.79138,0.62358,0.69623,0.28964,1.97374,1.30027,1.03217,0.0007558,0.0007558,0.0007558
39,8245.43,2.2654,1.75092,1.04362,0.78378,0.62001,0.68488,0.30237,1.94653,1.29764,1.02464,0.0007492,0.0007492,0.0007492
40,9143.74,2.18127,1.65513,1.03897,0.79943,0.6301,0.70686,0.30378,1.93994,1.27173,1.02668,0.0007426,0.0007426,0.0007426
41,9338.69,2.15127,1.61968,1.01666,0.83632,0.63668,0.72353,0.32036,1.91972,1.23624,1.02065,0.000736,0.000736,0.000736
42,9532.3,2.09708,1.55463,1.01252,0.79282,0.66821,0.71814,0.28102,2.00651,1.23312,1.02577,0.0007294,0.0007294,0.0007294
43,9716.24,2.10944,1.49895,1.0185,0.8715,0.66835,0.74755,0.31389,1.93133,1.15018,1.01395,0.0007228,0.0007228,0.0007228
44,9909.73,2.06539,1.53093,1.0078,0.85331,0.67836,0.75348,0.32647,1.93073,1.20382,1.01705,0.0007162,0.0007162,0.0007162
45,10096,2.02698,1.43912,0.9896,0.87021,0.691,0.7657,0.34495,1.87812,1.19615,1.00144,0.0007096,0.0007096,0.0007096
46,10287.7,2.03487,1.43942,0.9939,0.79312,0.69151,0.73235,0.30426,1.97323,1.17999,1.01938,0.000703,0.000703,0.000703
47,10472.5,2.04108,1.46295,1.00696,0.79781,0.66853,0.73794,0.3159,1.92431,1.12411,1.01441,0.0006964,0.0006964,0.0006964
48,10662.4,2.01759,1.46457,0.99349,0.81782,0.68873,0.75615,0.32171,1.93676,1.11928,1.01412,0.0006898,0.0006898,0.0006898
